Comment,Designator,Footprint,LCSC Part #
100pF,C1,0402,C1546
10nF,"C2,C3",0402,C15195
100nF,"C4,C6,C7,C9,C12,C15",0603,C14663
4.7uF,"C5,C16",0603,C19666
47uF,C8,0805,C16780
4.7uF,C10,0402,C23733
22nF,C11,0402,C1532
1uF,"C13,C14",0402,C52923
1nF,"C17,C18",0402,C1523
10uF,"C19,C20,C21,C22,C23,C24,C25,C26,C27,C28",CAPC2013X135X45NL10T25,C15850
1uF,C29,0603,C15849
2.2uF,"C30,C33,C34,C35",0603,C23630
100nF,"C31,C36,C37,C38,C39,C40,C43,C44,C45,C46,C47,C48,C49,C50,C51",0402,C307331
10nF,C32,0402,C15195
220pF,"C41,C42",0402,C1530
SS34,D1,FP-SMA-MFG,C8678
1N4148WS,D2,FAIR-SOD-323_V,C2128
1N4148WT,"D3,D4,D5,D6,D7,D8,D9,D10,D11",FAIR-SOD-523F-2_V,C917006
M7,D12,FP-1N4007_SMD-IPC_A,C2972759
KT-0603R,"DS1,DS2",0603,C2286
22uH,L1,FP-IHLP-2525CZ-FP_2_413x3-MFG,C42462944
XT30PW-M,"P1,P2",XT30PW-M,C431092
JST_SH-05P,P6,SH-5P-SIDE,C136657
JST_SH-02P,"P7,P8",SH-2P-SIDE,C160402
JST_SH-04P,P9,SH-04-SIDE,C160404
FDMS8820,"Q1,Q2,Q3,Q4,Q5,Q6",PDFN56,C236897
15k,R1,0402,C25756
18k,R2,0603,C25810
200k,R3,0402,C25764
3k3,R4,0603,C22978
12k,"R5,R37,R38",0402,C25752
1M,R6,0603,C22935
39k,R7,0603,C163424
1k,R8,0603,C21190
100R,"R9,R10,R31,R33,R35,R36",0402,C25076
1k,"R11,R39",0402,C11702
33k,R12,0603,C4216
2k,R13,0603,C22975
10R,"R14,R15,R16,R20,R21,R22",0603,C22859
33k,"R17,R18,R19",0402,C25779
0.01R,"R23,R24",2512,C316229
2k,"R25,R26,R27",0402,C4109
0R,"R28,R29",0402,C17168
120R,R32,0603,C22787
4k7,R34,0402,C25900
DRV8302DCA,U1,HTSSOP-56,C84672
LP2985-33DBVR,U2,TI-DBV5_V,C95414
AS5047P,U3,TSSOP-14,C962063
MCP2551-I/SN,U4,MCHP-SN8_V,C46596284
USBLC6-2SC6Y,U5,SOT23-6,C2969755
STM32F405RGT6,U6,QFP50P1200X1200X160-64N,C15742
USB-C,USB1,USB-C-A40-00119,C3025063
12MHz,X1,MURA-CSTCE_G_V,C2659482
