Sheet,Reference,Original Altium value,Original package,Current KiCad value,Current KiCad footprint,Selected MPN,LCSC part,JLCPCB class,Assembly status,Value changed
ESC-BLDC.kicad_sch,C41,560pF(0402),0402,220pF,CAPC0402(1005)60_L,0402B221K500NT,C1530,Basic,Fitted,Yes
ESC-BLDC.kicad_sch,C42,560pF(0402),0402,220pF,CAPC0402(1005)60_L,0402B221K500NT,C1530,Basic,Fitted,Yes
ESC-BLDC.kicad_sch,C43,100nF(0402),0402,100nF,CAPC0402(1005)60_L,CL05B104KB54PNC,C307331,Basic,Fitted,No
ESC-BLDC.kicad_sch,P7,JST_SH-02P,,JST_SH-02P,SH-2P-SIDE,,,,DNP / manual,No
ESC-BLDC.kicad_sch,P8,JST_SH-02P,,JST_SH-02P,SH-2P-SIDE,,,,DNP / manual,No
ESC-BLDC.kicad_sch,R31,100R(0402),0402,100R,RESC1005X40X25ML05T05,0402WGF1000TCE,C25076,Basic,Fitted,No
ESC-BLDC.kicad_sch,R32,120R,0603,120R,FP-RMCF0603-IPC_A,,C22787,,Fitted,No
ESC-BLDC.kicad_sch,R33,100R(0402),0402,100R,RESC1005X40X25ML05T05,0402WGF1000TCE,C25076,Basic,Fitted,No
ESC-BLDC.kicad_sch,R34,4k7(0402),0402,4k7,RESC1005X40X25ML05T05,0402WGF4701TCE,C25900,Basic,Fitted,No
ESC-BLDC.kicad_sch,U4,MCP2551-I/SN,,MCP2551-I/SN,MCHP-SN8_V,MCP2551-I/SN-JSM,C46596284,,Fitted,No
gate driver.kicad_sch,C1,120pF,0402,100pF,CAPC1005X56X25NL10T15,0402CG101J500NT,C1546,Basic,Fitted,Yes
gate driver.kicad_sch,C2,6.8nF,0402,10nF,CAPC1005X56X25NL10T15,CL05B103KB5NNNC,C15195,Basic,Fitted,Yes
gate driver.kicad_sch,C3,15nF,0402,10nF,CAPC0402(1005)60_L,CL05B103KB5NNNC,C15195,Basic,Fitted,Yes
gate driver.kicad_sch,C4,100nF,0603,100nF,CAPC1608X90X40NL10T20,CC0603KRX7R9BB104,C14663,Basic,Fitted,No
gate driver.kicad_sch,C5,4.7µF,0603,4.7uF,CAPC0603(1608)100_L,CL10A475KO8NNNC,C19666,Basic,Fitted,Yes
gate driver.kicad_sch,C6,100nF,0603,100nF,CAPC1608X90X40NL10T20,CC0603KRX7R9BB104,C14663,Basic,Fitted,No
gate driver.kicad_sch,C7,100nF,0603,100nF,CAPC1608X90X40NL10T20,CC0603KRX7R9BB104,C14663,Basic,Fitted,No
gate driver.kicad_sch,C8,47µF,0805,47uF,CAPC0805(2012)145_L,CL21A476MQYNNNE,C16780,Basic,Fitted,Yes
gate driver.kicad_sch,C9,100nF,0603,100nF,CAPC1608X90X40NL10T20,CC0603KRX7R9BB104,C14663,Basic,Fitted,No
gate driver.kicad_sch,C10,2.2µF,0402,4.7uF,CAPC0402(1005)60_L,CL05A475MP5NRNC,C23733,Basic,Fitted,Yes
gate driver.kicad_sch,C11,22nF,0402,22nF,CAPC0402(1005)60_L,0402B223K500NT,C1532,Basic,Fitted,No
gate driver.kicad_sch,C12,100nF,0603,100nF,CAPC1608X90X40NL10T20,CC0603KRX7R9BB104,C14663,Basic,Fitted,No
gate driver.kicad_sch,C13,1µF,0402,1uF,CAPC0402(1005)60_L,CL05A105KA5NQNC,C52923,Basic,Fitted,Yes
gate driver.kicad_sch,C14,1µF,0402,1uF,CAPC0402(1005)60_L,CL05A105KA5NQNC,C52923,Basic,Fitted,Yes
gate driver.kicad_sch,C15,100nF,0603,100nF,CAPC1608X90X40NL10T20,CC0603KRX7R9BB104,C14663,Basic,Fitted,No
gate driver.kicad_sch,C16,4.7µF,0603,4.7uF,CAPC0603(1608)100_L,CL10A475KO8NNNC,C19666,Basic,Fitted,Yes
gate driver.kicad_sch,C17,2.2nF,0402,1nF,CAPC0402(1005)60_L,0402B102K500NT,C1523,Basic,Fitted,Yes
gate driver.kicad_sch,C18,2.2nF,0402,1nF,CAPC0402(1005)60_L,0402B102K500NT,C1523,Basic,Fitted,Yes
gate driver.kicad_sch,D1,200pF,SMA,SS34,FP-SMA-MFG,SS34,C8678,Basic,Fitted,Yes
gate driver.kicad_sch,J1,JUMPER,,JUMPER,JUMPER,,,Not assembled,DNP / manual,No
gate driver.kicad_sch,J2,JUMPER,,JUMPER,JUMPER,,,Not assembled,DNP / manual,No
gate driver.kicad_sch,L1,22uH,2525,22uH,FP-IHLP-2525CZ-FP_2_413x3-MFG,SL0650-220M,C22463831,,Fitted,No
gate driver.kicad_sch,R1,15k,0402,15k,RESC1005X40X25ML10T10,0402WGF1502TCE,C25756,Basic,Fitted,No
gate driver.kicad_sch,R2,18k,0603,18k,RESC1608X55X25ML10T15,0603WAF1802T5E,C25810,Basic,Fitted,No
gate driver.kicad_sch,R3,200k,0402,200k,RESC0402(1005)_L,0402WGF2003TCE,C25764,Basic,Fitted,No
gate driver.kicad_sch,R4,3k3,0603,3k3,RESC1608X55X25ML10T15,0603WAF3301T5E,C22978,Basic,Fitted,No
gate driver.kicad_sch,R5,10k,0402,12k,RESC1005X40X25ML05T05,0402WGF1202TCE,C25752,Basic,Fitted,Yes
gate driver.kicad_sch,R6,1M,0603,1M,RESC1608X55X25ML10T15,,C22935,,Fitted,No
gate driver.kicad_sch,R7,RA,0603,39k,RESC1608X55X25ML10T15,RC0603FR-0739KL,C163424,,Fitted,Yes
gate driver.kicad_sch,R8,RB,0603,1k,RESC1608X55X25ML10T15,0603WAF1001T5E,C21190,,Fitted,Yes
gate driver.kicad_sch,R9,56R,0402,100R,RESC1005X40X25ML05T05,0402WGF1000TCE,C25076,Basic,Fitted,Yes
gate driver.kicad_sch,R10,56R,0402,100R,RESC1005X40X25ML05T05,0402WGF1000TCE,C25076,Basic,Fitted,Yes
gate driver.kicad_sch,U1,DRV8302DCA,,DRV8302DCA,HTSSOP-56,DRV8302DCA,C84672,,Fitted,No
main controller.kicad_sch,C44,100nF(0402),0402,100nF,CAPC0402(1005)60_L,CL05B104KB54PNC,C307331,Basic,Fitted,No
main controller.kicad_sch,C45,100nF(0402),0402,100nF,CAPC0402(1005)60_L,CL05B104KB54PNC,C307331,Basic,Fitted,No
main controller.kicad_sch,C46,100nF(0402),0402,100nF,CAPC0402(1005)60_L,CL05B104KB54PNC,C307331,Basic,Fitted,No
main controller.kicad_sch,C47,100nF(0402),0402,100nF,CAPC0402(1005)60_L,CL05B104KB54PNC,C307331,Basic,Fitted,No
main controller.kicad_sch,C48,100nF(0402),0402,100nF,CAPC0402(1005)60_L,CL05B104KB54PNC,C307331,Basic,Fitted,No
main controller.kicad_sch,C49,100nF(0402),0402,100nF,CAPC0402(1005)60_L,CL05B104KB54PNC,C307331,Basic,Fitted,No
main controller.kicad_sch,C50,100nF(0402),0402,100nF,CAPC0402(1005)60_L,CL05B104KB54PNC,C307331,Basic,Fitted,No
main controller.kicad_sch,C51,100nF(0402),0402,100nF,CAPC0402(1005)60_L,CL05B104KB54PNC,C307331,Basic,Fitted,No
main controller.kicad_sch,D12,M7,SMA,M7,FP-1N4007_SMD-IPC_A,1N4007(M7)SMA,C2972759,Extended,Fitted,No
main controller.kicad_sch,DS2,KT-0603R,0603,KT-0603R,LTST-C190KSKT_V,KT-0603R,C2286,Basic,Fitted,No
main controller.kicad_sch,P9,JST_SH-04P,,JST_SH-04P,SH-04-SIDE,,,,DNP / manual,No
main controller.kicad_sch,P10,HEADER-4P,,HEADER-4P,female_header-4p,,,,DNP / manual,No
main controller.kicad_sch,R35,100R(0402),0402,100R,RESC1005X40X25ML05T05,0402WGF1000TCE,C25076,Basic,Fitted,No
main controller.kicad_sch,R36,100R(0402),0402,100R,RESC1005X40X25ML05T05,0402WGF1000TCE,C25076,Basic,Fitted,No
main controller.kicad_sch,R37,12k(0402),0402,12k,RESC1005X40X25ML05T05,0402WGF1202TCE,C25752,Basic,Fitted,No
main controller.kicad_sch,R38,12k(0402),0402,12k,RESC1005X40X25ML05T05,0402WGF1202TCE,C25752,Basic,Fitted,No
main controller.kicad_sch,R39,1k(0402),0402,1k,RESC1005X40X25ML05T05,0402WGF1001TCE,C11702,Basic,Fitted,No
main controller.kicad_sch,U5,USBLC6-2SC6Y,,USBLC6-2SC6Y,SOT23-6,USBLC6-2SC6Y,C2969755,,Fitted,No
main controller.kicad_sch,U6,STM32F405RGT6,,STM32F405RGT6,QFP50P1200X1200X160-64N,,C15742,,Fitted,No
main controller.kicad_sch,USB1,USB-C,,USB-C,USB-C-A40-00119,USB4105-GF-A-060,C3025063,,Fitted,No
main controller.kicad_sch,X1,12MHz,,12MHz,MURA-CSTCE_G_V,CSTNE12M0G55Z000R0,C2659482,,Fitted,No
power MOSFET.kicad_sch,C19,10µF,0805,10uF,CAPC2013X135X45NL10T25,CL21A106KAYNNNE,C15850,Basic,Fitted,Yes
power MOSFET.kicad_sch,C20,10µF,0805,10uF,CAPC2013X135X45NL10T25,CL21A106KAYNNNE,C15850,Basic,Fitted,Yes
power MOSFET.kicad_sch,C21,10µF,0805,10uF,CAPC2013X135X45NL10T25,CL21A106KAYNNNE,C15850,Basic,Fitted,Yes
power MOSFET.kicad_sch,C22,10µF,0805,10uF,CAPC2013X135X45NL10T25,CL21A106KAYNNNE,C15850,Basic,Fitted,Yes
power MOSFET.kicad_sch,C23,10µF,0805,10uF,CAPC2013X135X45NL10T25,CL21A106KAYNNNE,C15850,Basic,Fitted,Yes
power MOSFET.kicad_sch,C24,10µF,0805,10uF,CAPC2013X135X45NL10T25,CL21A106KAYNNNE,C15850,Basic,Fitted,Yes
